,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
4575.0,13.906243730374596,0.7633578557690215,0.0,0.0,-0.00021583342609192278,0.0,0.0,1.2242942233913567
4576.0,13.90619767425198,0.7630243064505976,0.0,0.0,-0.0002235263851223777,0.0,0.0,1.224074544508812
4577.0,13.90615223588237,0.7626833124666983,0.0,0.0,-0.00023123148536200128,0.0,0.0,1.223847166574029
4578.0,13.90610741872272,0.7623348669126133,0.0,0.0,-0.00023894845497224453,0.0,0.0,1.2236120775816177
4579.0,13.906063226215178,0.761978963159731,0.0,0.0,-0.0002466770209185307,0.0,0.0,1.223369265798626
4580.0,13.906019661786923,0.7616155948565397,0.0,0.0,-0.0002544169089788202,0.0,0.0,1.2231187197657296
4581.0,13.905976728849977,0.7612447559296198,0.0,0.0,-0.00026216784375225133,0.0,0.0,1.2228604282984175
4582.0,13.905934430801038,0.7608664405846258,0.0,0.0,-0.0002699295486678561,0.0,0.0,1.2225943804881647
4583.0,13.905892771021296,0.7604806433072602,0.0,0.0,-0.0002777017459933511,0.0,0.0,1.222320565703599
4584.0,13.90585175287626,0.7600873588642366,0.0,0.0,-0.00028548415684400346,0.0,0.0,1.2220389735916568
4585.0,13.905811379715578,0.7596865823042348,0.0,0.0,-0.0002932765011915709,0.0,0.0,1.2217495940787326
4586.0,13.90577165487287,0.7592783089588448,0.0,0.0,-0.0003010784978733161,0.0,0.0,1.2214524173718164
4587.0,13.905732581665541,0.7588625344435023,0.0,0.0,-0.00030888986460109473,0.0,0.0,1.2211474339596249
4588.0,13.905694163394612,0.7584392546584138,0.0,0.0,-0.00031671031797051704,0.0,0.0,1.2208346346137213
4589.0,13.905656403344542,0.7580084657894725,0.0,0.0,-0.0003245395734701825,0.0,0.0,1.2205140103896281
4590.0,13.905619304783054,0.7575701643091637,0.0,0.0,-0.00033237734549098746,0.0,0.0,1.2201855526279284
4591.0,13.905582870960957,0.757124346977461,0.0,0.0,-0.00034022334733550466,0.0,0.0,1.2198492529553595
4592.0,13.905547105111978,0.756671010842712,0.0,0.0,-0.0003480772912274358,0.0,0.0,1.2195051032858963
4593.0,13.905512010452577,0.7562101532425143,0.0,0.0,-0.0003559388883211348,0.0,0.0,1.2191530958218255
4594.0,13.90547759018178,0.7557417718045807,0.0,0.0,-0.0003638078487112029,0.0,0.0,1.2187932230548102
4595.0,13.905443847481004,0.7552658644475955,0.0,0.0,-0.00037168388144215504,0.0,0.0,1.2184254777669445
4596.0,13.90541078551388,0.7547824293820594,0.0,0.0,-0.00037956669451815633,0.0,0.0,1.2180498530317994
4597.0,13.90537840742608,0.7542914651111249,0.0,0.0,-0.00038745599491282886,0.0,0.0,1.2176663422154572
4598.0,13.905346716345145,0.7537929704314204,0.0,0.0,-0.00039535148857912855,0.0,0.0,1.2172749389775386
4599.0,13.905315715380311,0.7532869444338651,0.0,0.0,-0.0004032528804592915,0.0,0.0,1.2168756372722167
4600.0,13.905285407622337,0.7527733865044726,0.0,0.0,-0.00041115987449484934,0.0,0.0,1.216468431349224
4601.0,13.905255796143331,0.7522522963251438,0.0,0.0,-0.00041907217363671285,0.0,0.0,1.2160533157548474
4602.0,13.905226883996576,0.7517236738744502,0.0,0.0,-0.00042698947985532416,0.0,0.0,1.2156302853329142
4603.0,13.905198674216363,0.7511875194284052,0.0,0.0,-0.0004349114941508773,0.0,0.0,1.215199335225767
4604.0,13.905171169817812,0.7506438335612261,0.0,0.0,-0.0004428379165636049,0.0,0.0,1.2147604608752294
4605.0,13.905144373796707,0.7500926171460839,0.0,0.0,-0.00045076844618413336,0.0,0.0,1.21431365802356
4606.0,13.905118289129321,0.7495338713558433,0.0,0.0,-0.0004587027811639032,0.0,0.0,1.2138589227143977
4607.0,13.90509291877225,0.7489675976637912,0.0,0.0,-0.00046664061872565696,0.0,0.0,1.2133962512936947
4608.0,13.905068265662232,0.7483937978443549,0.0,0.0,-0.0004745816551739913,0.0,0.0,1.2129256404106408
4609.0,13.90504433271599,0.7478124739738083,0.0,0.0,-0.00048252558590597557,0.0,0.0,1.2124470870185755
4610.0,13.905021122830055,0.747223628430968,0.0,0.0,-0.0004904721054218347,0.0,0.0,1.211960588375891
4611.0,13.904998638880596,0.7466272638978776,0.0,0.0,-0.0004984209073356962,0.0,0.0,1.2114661420469228
4612.0,13.904976883723252,0.7460233833604811,0.0,0.0,-0.0005063716843864015,0.0,0.0,1.210963745902831
4613.0,13.904955860192965,0.7454119901092852,0.0,0.0,-0.0005143241284483807,0.0,0.0,1.21045339812247
4614.0,13.904935571103811,0.7447930877400096,0.0,0.0,-0.0005222779305425896,0.0,0.0,1.2099350971932474
